0,0,4
0,1,3
0,3,3
0,4,3
0,5,3
0,10,5
0,11,4
0,13,3
0,16,3
0,21,4
0,22,4
0,28,3
0,32,4
0,33,4
0,36,3
0,37,2
0,41,3
0,42,3
0,43,5
0,44,3
0,45,3
0,46,2
0,47,3
0,49,4
0,50,5
0,51,5
0,52,5
0,53,4
0,54,5
0,55,4
0,56,3
0,57,4
0,58,4
0,59,5
0,60,3
0,62,5
0,63,3
0,64,4
0,65,4
0,66,4
0,67,4
0,68,4
0,69,4
0,70,2
0,75,3
0,76,2
0,77,3
0,78,3
0,79,4
0,86,4
0,87,4
0,88,5
0,92,5
0,95,3
0,96,5
0,98,3
1,0,4
1,1,3
1,2,3
1,3,3
1,7,3
1,10,2
1,24,2
1,30,5
1,32,5
1,36,2
1,44,2
1,46,1
1,48,1
1,49,4
1,50,4
1,52,2
1,53,2
1,58,2
1,65,2
1,66,2
1,67,3
1,68,4
1,69,1
1,70,1
1,71,3
1,72,4
1,74,2
1,75,5
1,76,4
1,78,1
1,79,4
1,81,2
1,82,2
1,84,2
1,86,4
1,87,3
1,90,2
1,91,4
1,93,5
1,95,3
1,96,2
1,97,2
1,98,4
1,99,2
2,0,2
2,1,4
2,2,1
2,4,2
2,9,1
2,15,4
2,26,5
2,30,3
2,31,5
2,32,1
2,34,5
2,35,2
2,36,5
2,46,2
2,48,5
2,49,2
2,65,3
2,66,2
2,71,2
2,72,1
2,74,4
2,75,3
2,76,3
2,77,3
2,78,1
2,80,3
2,83,2
2,85,1
2,87,2
2,88,1
2,89,2
2,90,2
2,93,3
2,94,4
2,95,2
2,96,2
2,97,4
2,98,3
2,99,4
3,1,4
3,2,2
3,3,5
3,7,5
3,9,2
3,10,1
3,11,4
3,21,2
3,23,2
3,24,5
3,26,4
3,30,2
3,31,4
3,32,4
3,34,1
3,35,3
3,36,4
3,49,2
3,54,1
3,58,1
3,65,3
3,66,2
3,69,4
3,71,4
3,74,3
3,77,2
3,81,2
3,82,2
3,84,2
3,85,3
3,88,3
3,91,1
3,93,2
3,94,3
3,95,5
3,96,4
3,97,1
3,98,4
4,0,4
4,1,4
4,6,5
4,8,2
4,9,2
4,11,2
4,16,2
4,17,1
4,18,1
4,21,2
4,22,2
4,23,2
4,24,5
4,26,5
4,27,2
4,28,1
4,29,3
4,30,3
4,31,5
4,32,3
4,33,2
4,34,4
4,35,3
4,36,1
4,37,2
4,41,2
4,42,2
4,45,3
4,46,2
4,48,5
4,49,2
4,50,1
4,55,3
4,57,1
4,61,2
4,65,2
4,66,2
4,67,2
4,69,2
4,71,3
4,72,3
4,73,2
4,74,2
4,75,3
4,76,1
4,77,2
4,78,1
4,79,1
4,80,1
4,82,4
4,85,3
4,86,3
4,87,2
4,88,3
4,89,2
4,91,1
4,92,2
4,93,3
4,94,2
4,95,1
4,96,2
4,98,2
4,99,5
5,0,5
5,1,2
5,3,3
5,4,2
5,6,4
5,7,3
5,8,2
5,9,5
5,10,5
5,11,2
5,13,3
5,14,2
5,16,4
5,17,3
5,18,2
5,19,5
5,20,1
5,21,3
5,23,3
5,26,4
5,29,4
5,30,1
5,31,4
5,32,5
5,33,3
5,34,3
5,35,3
5,36,5
5,37,5
5,38,2
5,40,2
5,42,5
5,44,2
5,48,4
5,49,3
5,51,1
5,52,2
5,54,2
5,58,2
5,65,4
5,66,4
5,69,2
5,71,2
5,72,3
5,75,5
5,76,2
5,77,2
5,78,4
5,81,1
5,82,3
5,86,2
5,87,3
5,89,1
5,90,4
5,91,4
5,92,5
5,93,1
5,94,5
5,96,5
5,97,1
5,98,3
5,99,3
6,0,5
6,1,1
6,3,2
6,6,3
6,8,5
6,9,5
6,10,5
6,11,4
6,12,5
6,13,3
6,14,4
6,15,1
6,21,3
6,23,3
6,24,2
6,30,3
6,32,2
6,33,3
6,34,5
6,35,2
6,42,3
6,48,5
6,49,3
6,51,1
6,53,3
6,61,1
6,62,1
6,65,5
6,66,5
6,67,3
6,69,4
6,72,2
6,74,2
6,75,5
6,78,3
6,79,4
6,80,1
6,81,3
6,84,3
6,87,3
6,89,5
6,92,5
6,93,3
6,95,3
6,96,1
6,97,5
6,98,2
6,99,2
7,0,4
7,1,4
7,6,5
7,7,5
7,8,2
7,9,3
7,10,2
7,11,5
7,12,1
7,16,5
7,17,5
7,18,5
